Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage (kWh),ELECTRICITY NEEDED,EXCESS SOLAR,BATTERY LEVELS,ELECTRICITY PROVIDE BY BAT,ELECTRICT BILL LESS BAT
19,7 01 2020 19:00,0.0090000 ,2.7786000 ,2.7696000 ,0,0,0.0000000 ,2.7696000 
20,7 01 2020 20:00,0.0150000 ,1.8546000 ,1.8396000 ,0,0,0.0000000 ,1.8396000 
21,7 01 2020 21:00,0.0030000 ,0.7890000 ,0.7860000 ,0,0,0.0000000 ,0.7860000 
22,7 01 2020 22:00,0.0150000 ,2.3640000 ,2.3490000 ,0,0,0.0000000 ,2.3490000 
23,7 01 2020 23:00,0.0000000 ,1.5765000 ,1.5765000 ,0,0,0.0000000 ,1.5765000 
0,8 01 2020 00:00,0.0000000 ,1.5758424 ,1.5758424 ,0,0,0.0000000 ,1.5758424 
1,8 01 2020 01:00,0.0000000 ,0.3899610 ,0.3899610 ,0,0,0.0000000 ,0.3899610 
2,8 01 2020 02:00,0.0000000 ,0.1339866 ,0.1339866 ,0,0,0.0000000 ,0.1339866 
3,8 01 2020 03:00,0.0000000 ,0.1980000 ,0.1980000 ,0,0,0.0000000 ,0.1980000 
4,8 01 2020 04:00,0.0000000 ,0.1830000 ,0.1830000 ,0,0,0.0000000 ,0.1830000 
5,8 01 2020 05:00,0.0180000 ,0.2190000 ,0.2010000 ,0,0,0.0000000 ,0.2010000 
6,8 01 2020 06:00,0.0030000 ,0.4680000 ,0.4650000 ,0,0,0.0000000 ,0.4650000 
7,8 01 2020 07:00,0.0120000 ,0.7620000 ,0.7500000 ,0,0,0.0000000 ,0.7500000 
8,8 01 2020 08:00,0.0000000 ,1.3650000 ,1.3650000 ,0,0,0.0000000 ,1.3650000 
9,8 01 2020 09:00,0.0060000 ,0.6900000 ,0.6840000 ,0,0,0.0000000 ,0.6840000 
10,8 01 2020 10:00,0.1500000 ,0.6990000 ,0.5490000 ,0,0,0.0000000 ,0.5490000 
11,8 01 2020 11:00,0.2070000 ,0.5400000 ,0.3330000 ,0,0,0.0000000 ,0.3330000 
12,8 01 2020 12:00,0.3120000 ,0.5700000 ,0.2580000 ,0,0,0.0000000 ,0.2580000 
13,8 01 2020 13:00,0.2820000 ,1.5540000 ,1.2720000 ,0,0,0.0000000 ,1.2720000 
14,8 01 2020 14:00,0.1860000 ,0.4440000 ,0.2580000 ,0,0,0.0000000 ,0.2580000 
15,8 01 2020 15:00,0.0630000 ,1.8390000 ,1.7760000 ,0,0,0.0000000 ,1.7760000 
16,8 01 2020 16:00,0.0330000 ,0.7680000 ,0.7350000 ,0,0,0.0000000 ,0.7350000 
17,8 01 2020 17:00,0.0090000 ,0.9210000 ,0.9120000 ,0,0,0.0000000 ,0.9120000 
18,8 01 2020 18:00,0.0000000 ,6.5604000 ,6.5604000 ,0,0,0.0000000 ,6.5604000 
19,8 01 2020 19:00,0.0180000 ,2.7126000 ,2.6946000 ,0,0,0.0000000 ,2.6946000 
20,8 01 2020 20:00,0.0060000 ,2.6664000 ,2.6604000 ,0,0,0.0000000 ,2.6604000 
21,8 01 2020 21:00,0.0090000 ,9.2220000 ,9.2130000 ,0,0,0.0000000 ,9.2130000 
22,8 01 2020 22:00,0.0000000 ,1.2210000 ,1.2210000 ,0,0,0.0000000 ,1.2210000 
23,8 01 2020 23:00,0.0000000 ,1.5078492 ,1.5078492 ,0,0,0.0000000 ,1.5078492 
0,9 01 2020 00:00,0.0000000 ,0.9919008 ,0.9919008 ,0,0,0.0000000 ,0.9919008 
1,9 01 2020 01:00,0.0000000 ,0.5419458 ,0.5419458 ,0,0,0.0000000 ,0.5419458 
2,9 01 2020 02:00,0.0000000 ,0.1219878 ,0.1219878 ,0,0,0.0000000 ,0.1219878 
3,9 01 2020 03:00,0.0000000 ,0.1860000 ,0.1860000 ,0,0,0.0000000 ,0.1860000 
4,9 01 2020 04:00,0.0000000 ,0.2280000 ,0.2280000 ,0,0,0.0000000 ,0.2280000 
5,9 01 2020 05:00,0.0060000 ,0.4590000 ,0.4530000 ,0,0,0.0000000 ,0.4530000 
6,9 01 2020 06:00,0.0090000 ,0.3330000 ,0.3240000 ,0,0,0.0000000 ,0.3240000 
7,9 01 2020 07:00,0.0090000 ,0.5880000 ,0.5790000 ,0,0,0.0000000 ,0.5790000 
8,9 01 2020 08:00,0.0060000 ,1.8960000 ,1.8900000 ,0,0,0.0000000 ,1.8900000 
9,9 01 2020 09:00,0.0090000 ,1.8330000 ,1.8240000 ,0,0,0.0000000 ,1.8240000 
10,9 01 2020 10:00,0.1350000 ,1.7490000 ,1.6140000 ,0,0,0.0000000 ,1.6140000 
11,9 01 2020 11:00,0.2520000 ,1.9890000 ,1.7370000 ,0,0,0.0000000 ,1.7370000 
12,9 01 2020 12:00,0.4350000 ,0.5580000 ,0.1230000 ,0,0,0.0000000 ,0.1230000 
13,9 01 2020 13:00,0.2490000 ,0.7860000 ,0.5370000 ,0,0,0.0000000 ,0.5370000 
14,9 01 2020 14:00,0.2100000 ,0.5610000 ,0.3510000 ,0,0,0.0000000 ,0.3510000 
15,9 01 2020 15:00,0.0480000 ,0.5370000 ,0.4890000 ,0,0,0.0000000 ,0.4890000 
16,9 01 2020 16:00,0.0330000 ,0.3600000 ,0.3270000 ,0,0,0.0000000 ,0.3270000 
17,9 01 2020 17:00,0.0120000 ,0.5820000 ,0.5700000 ,0,0,0.0000000 ,0.5700000 
18,9 01 2020 18:00,0.0060000 ,3.1680000 ,3.1620000 ,0,0,0.0000000 ,3.1620000 
19,9 01 2020 19:00,0.0090000 ,3.0162000 ,3.0072000 ,0,0,0.0000000 ,3.0072000 
20,9 01 2020 20:00,0.0060000 ,2.2572000 ,2.2512000 ,0,0,0.0000000 ,2.2512000 
21,9 01 2020 21:00,0.0150000 ,1.3680000 ,1.3530000 ,0,0,0.0000000 ,1.3530000 
22,9 01 2020 22:00,0.0060000 ,1.3830000 ,1.3770000 ,0,0,0.0000000 ,1.3770000 
23,9 01 2020 23:00,0.0000000 ,0.7459254 ,0.7459254 ,0,0,0.0000000 ,0.7459254 
0,10 01 2020 00:00,0.0000000 ,0.7639236 ,0.7639236 ,0,0,0.0000000 ,0.7639236 
